id,title,title_html,body,body_html,i_country,i_region,section,year,document,issuing,law_type,topic,liability,provider,immunity,intermediary_liability,TYPE OF CONTENT PROCESSING,osp_obligation,ISSUES ADDRESSED,issues,TRIGGER FOR OBLIGATION OF OSP,NOTICE AND TAKEDOWN FORMALITIES,"DUE PROCESS FOR TARGET SPEAKER,
THIRD PARTIES AND END-USERS","PUBLIC TRANSPARENCY ABOUT 
OSP ACTION OR GOVT REQUEST",LIMITATION ON SCOPE OF COMPLIANCE,promote,link_status,title_link,link_link_update,link_ok
3,"Convention on Cyber Security and Personal Data Protection,","<div><strong><a href=""http://pages.au.int/sites/default/files/en_AU%20Convention%20on%20CyberSecurity%20Pers%20Data%20Protec%20AUCyC%20adopted%20Malabo.pdf"">Convention on Cyber Security and Personal Data Protection</a>,&nbsp;<span style=""line-height: 1.538em;"">EX.CL/846(XXV),&nbsp;</span>June 27, 2014</strong></div>","EX.CL/846(XXV), June 27, 2014
 
[(1) In June 2014, the Executive Council of the African Union adopted the Convention on Cyber Security and Personal Data Protection (“the AU Convention”). The Convention will enter into force upon ratification by at least 15 AU member states. The AU Convention contains provisions pertaining to e-commerce, personal data protection, and cyber security. 
 
(2) Article 9(2)(b) relates to intermediary liability in personal data processing: “[the] Convention shall not be applicable to Temporary copies produced within the context of technical activities for transmission and access to a digital network with a view to automatic, intermediate and temporary storage of data and for the sole purpose of offering other beneficiaries of the service the best possible access to the information so transmitted.” 
 
(3) The Convention does not provide safe harbors for intermediaries for third party breaches of copyright or other laws.","<div>[(<strong>1</strong>)&nbsp;In June 2014, the Executive Council of the African Union adopted the Convention on Cyber Security and Personal Data Protection (“the AU Convention”). The Convention will enter into force upon ratification by at least 15 AU member states.&nbsp;The AU Convention contains provisions pertaining to e-commerce, personal data protection, and cyber security.&nbsp;</div>
<div>(<strong>2</strong>) Article 9(2)(b) relates to intermediary liability in personal data processing: “[the] Convention shall not be applicable to Temporary copies produced within the context of technical activities for transmission and access to a digital network with a view to automatic, intermediate and temporary storage of data and for the sole purpose of offering other beneficiaries of the service the best possible access to the information so transmitted.”&nbsp;</div>
<div>
<div>&nbsp;</div>
<div>(<strong>3</strong>) The Convention does not provide safe harbors for intermediaries for third party breaches of copyright or other laws.]</div></div>",,AFRICAN UNION,LEGISLATION - International Law / Agreement (all),2014,International Agreement,Transnational Organization (Includes Bilateral Agreement),International+Civil+Criminal,E-Commerce+Cyber Security+Privacy or Data Protection+,,General or Non-Specified,,,,,,,,,,,,,Broken,"http://pages.au.int/sites/default/files/en_AU%20Convention%20on%20CyberSecurity%20Pers%20Data%20Protec%20AUCyC%20adopted%20Malabo.pdf"">Convention on Cyber Security and Personal Data Protection</a>,&nbsp;<span style=""line-height: 1.538em;",https://ccdcoe.org/sites/default/files/documents/AU-270614-CSConvention.pdf,https://ccdcoe.org/sites/default/files/documents/AU-270614-CSConvention.pdf
4,General Introduction - African Union,General Introduction - African Union,"There are currently no known new legislative proposals on the issue of intermediary liability. 

There are currently no known decisions on the issue of intermediary liability. Authority to rule on disputes over interpretation of AU treaties will be given to the African Court of Justice and Human Rights, which will incorporate the already established African Court on Human and Peoples' Rights.","There are currently no known new legislative proposals on the issue of intermediary liability. 

There are currently no known decisions on the issue of intermediary liability. Authority to rule on disputes over interpretation of AU treaties will be given to the African Court of Justice and Human Rights, which will incorporate the already established African Court on Human and Peoples' Rights.",,AFRICAN UNION,GENERAL INTRODUCTION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,,,,,,,,,,
5,General Introduction - Kenya,General Introduction - Kenya,"[Under Kenyan law, no provision specially addresses the issue of intermediary liability. There are no stated take down laws, policies or procedures. There is also no safe harbour for intermediaries or similar provisions limiting their liability. However, the activities of the intermediaries are assessed and regulated according to general provisions of criminal or civil liability. Under this framework, Intermediaries are responsible for filtering, removing and blocking content that is considered illegal, e.g. under crimial law or copyright, information communication, or hate speech legislation. However, they have no obligation to monitor traffic on their networks unless they are made aware of an illegal/unauthorized content or activity. The relevant provisions are detailed below.]","<div>[Under Kenyan law, no provision specially addresses the issue of intermediary liability. There are no stated take down laws, policies or procedures. There is also no safe harbour for&nbsp;intermediaries or similar provisions limiting their liability.&nbsp;However, the activities of the intermediaries are assessed and regulated according to general provisions of criminal or civil liability. Under this framework,&nbsp;Intermediaries are responsible for filtering, removing and blocking content that is considered illegal,&nbsp;e.g. under crimial law or copyright, information communication, or hate speech legislation. However, they have no obligation to monitor&nbsp;traffic on their networks unless they are made aware of an illegal/unauthorized content&nbsp;or activity.&nbsp;The relevant provisions are detailed below.]</div>",Kenya,,GENERAL INTRODUCTION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,,,,,,,,,,
6,Consumer Protection Act of 2012,"<div><strong><a href=""http://www.kenyalaw.org:8181/exist/kenyalex/actview.xql?actid=No.%2046%20of%202012"">Consumer Protection Act of 2012</a></strong></div>","[Section 11(1) provides that “no person shall advertise an internet gaming site that is operated contrary to any written law” and Section 11(2) provides that “no person, other than an internet service provider, shall arrange for or otherwise facilitate advertising prohibited under subsection (1) on behalf of another person.” Although confusing, the wording of these sections does not allow illegal activity for ISPs, but rather introduces a ""safe harbour"" exception so that an ISP can continue operating even if there are adverts (of which it has knowledge or does not have knowledge) that are illegal. Also, section 11(3) states ""For the purpose of subsection (1), a person advertises an internet gaming site only if the advertising originates in Kenya or is primarily intended for Kenya residents.""]","<div>[<strong>Section 11(1)</strong> provides that “no person shall advertise an internet gaming site that is operated contrary to any written law” and <strong>Section 11(2)</strong> provides that “no person, other than an internet service provider, shall arrange for or otherwise facilitate advertising prohibited under subsection (1) on behalf of another person.” Although confusing, the wording of these sections does not&nbsp;allow illegal activity for ISPs, but rather&nbsp;introduces a ""safe harbour"" exception so that an ISP can continue operating even if there are adverts (of which it has knowledge or does not have knowledge) that are illegal. Also, section <strong style=""line-height: 1.538em;"">11(3) </strong>states ""For the purpose of subsection (1), a person advertises an internet gaming site only if the advertising originates in Kenya or is primarily intended for Kenya residents.""]</div>",Kenya,,LEGISLATION - Law,2012,Legislation,Legislative Branch,Civil,Consumer Protection or Harm (e.g. fraud),,General or Non-Specified,Strengthens Immunity,,,,,,,,,,,Neutral/Unclear,Broken,http://www.kenyalaw.org:8181/exist/kenyalex/actview.xql?actid=No.%2046%20of%202012,,
7,Information Communication Act of 2009,"<div><strong><a href=""http://www.cck.go.ke/regulations/downloads/Kenya-Information-Communications-Act-Final.pdf"">Information Communication Act of 2009</a>,&nbsp;CAP 411 A</strong></div>","CAP 411 A
 
[(1) Section 24-25 establishes the requirement of license to operate or provide telecommunication systems and services;  under the Unified Licencing Framework (ULF) operated by the Communication Commission of Kenya (CCK), there are 3 categories of  internet intermediaries, which need to be licensed: (i) Network Facilities Provider (NFP), owning and operating any form of communications infrastructure (based on satellite, terrestrial, mobile or fixed); (ii) Applications Service Provider (ASP), providing all forms of services to end users using the network services of a facilities provider; (iii) Contents Services Provider (CSP), providing contents services such as broadcast (TV& Radio) material, and other information services and data processing services, etc.
 
(2) Section 27 empowers the Miniter in charge of communications to make rules in consultation with the CCK pertaining to the telecommunications system, thus the minister may introduce new obligation for intermediaries;
 
(2) Section 29 prohibits improper use of a system by sending a message or other matter that is false offensive, indecent, obscene or menacing character; 
 
(3) Section 30 prohibits the intentional modification or interference with the contents of a message sent by means of a telecommunication system, by persons licensed to run a telecommunication system;
 
(4) Section 31 prohibits licensed operators from intercepting and/or disclosing the contents of a message sent through the system;  
 
(5) Section 46(I) lists the responsibilities of broadcasters including to respect the rights to privacy of individuals and to respect the copyrights or any neighbouring right to any work or material; 
 
(6) Section 84(D) prohibits the publishing or transmitting of obscene information in electronic form; and 
 
(7) Section 93 provides general restrictions on disclosure of information.]","<div>[<strong>Section 11(1)</strong> provides that “no person shall advertise an internet gaming site that is operated contrary to any written law” and <strong>Section 11(2)</strong> provides that “no person, other than an internet service provider, shall arrange for or otherwise facilitate advertising prohibited under subsection (1) on behalf of another person.” Although confusing, the wording of these sections does not&nbsp;allow illegal activity for ISPs, but rather&nbsp;introduces a ""safe harbour"" exception so that an ISP can continue operating even if there are adverts (of which it has knowledge or does not have knowledge) that are illegal. Also, section <strong style=""line-height: 1.538em;"">11(3) </strong>states ""For the purpose of subsection (1), a person advertises an internet gaming site only if the advertising originates in Kenya or is primarily intended for Kenya residents.""]</div>",Kenya,,LEGISLATION - Law,2009,Legislation,Legislative Branch,Administrative+Civil,Copyright+Defamation or Personality Rights+Privacy or Data Protection,,General or Non-Specified,,,,,,,,,,,,,Broken,http://www.cck.go.ke/regulations/downloads/Kenya-Information-Communications-Act-Final.pdf,,
8,"Information and Communications (electronic Certification and Domain Name Administration) Regulations, 2010","<a href=""http://www.kenyalaw.org/LegalNotices/pop_ln.php?file=453""><strong>Information and Communications (electronic Certification and Domain Name Administration) Regulations, 2010</strong></a>",[Rule 26 provides that “[a] registrant shall bear liability for the infringement of third party rights and interest arising from holding or using a domain name in the ccTLD.],"<div>[(<strong style=""line-height: 1.538em;"">1</strong>) <strong>Section 24-25</strong> establishes the requirement of <strong>license </strong>to operate or provide telecommunication systems and services; &nbsp;under the <a href=""http://www.ictregulationtoolkit.org/en/toolkit/docs/Document/3399"">Unified Licencing Framework (ULF)</a> operated by the Communication Commission of Kenya (CCK), there are&nbsp;3 categories of &nbsp;internet intermediaries, which need to be licensed: (<strong>i</strong>)&nbsp;Network Facilities Provider (NFP), owning and operating any form of&nbsp;communications infrastructure (based on satellite, terrestrial, mobile or fixed); (<strong>ii</strong>)&nbsp;Applications Service Provider (ASP), providing all forms of services to end users&nbsp;using the network services of a facilities provider; (<strong>iii</strong>)&nbsp;Contents Services Provider (CSP), providing contents services such as broadcast&nbsp;(TV&amp; Radio) material, and other information services and data processing services,&nbsp;etc.</div>
<div>(<strong>2</strong>) <strong>Section 27</strong> empowers the Miniter in charge of communications to make rules in consultation with the CCK pertaining to the telecommunications system, thus the minister may introduce new obligation for intermediaries;</div>
<div>(<strong style=""line-height: 1.538em;"">2</strong>) <strong>Section 29</strong> prohibits improper use of a system by sending a message or other matter that is false offensive, indecent, obscene or menacing character;&nbsp;</div>
<div>(<strong>3</strong>) <strong>Section 30</strong> prohibits the intentional modification or interference with the contents of a message sent by means of a telecommunication system, by persons licensed to run a telecommunication system;</div>
<div>(<strong style=""line-height: 1.538em;"">4</strong>) <strong>Section 31&nbsp;</strong>prohibits licensed operators from intercepting and/or disclosing the contents of a message sent through the system;&nbsp;&nbsp;</div>
<div>(<strong style=""line-height: 1.538em;"">5</strong>) <strong>Section 46(I)</strong> lists the responsibilities of broadcasters including to respect the rights to privacy of individuals and to respect the copyrights or any neighbouring right to any work or material;&nbsp;</div>
<div>(<strong style=""line-height: 1.538em;"">6</strong>) <strong>Section 84(D)</strong> prohibits the publishing or transmitting of obscene information in electronic form; and&nbsp;</div>
<div>(<strong style=""line-height: 1.538em;"">7</strong>) <strong>Section 93</strong> provides general restrictions on disclosure of information.]</div>
<ul><li><a href=""http://www.kenyalaw.org/LegalNotices/pop_ln.php?file=453""><strong>Information and Communications (electronic Certification and Domain Name Administration) Regulations, 2010</strong></a>&nbsp;[<strong>Rule 26</strong>&nbsp;provides that “[a] registrant shall bear liability for the infringement of third party rights and interest arising from holding or using a domain name in the ccTLD.]</li></ul>",Kenya,,LEGISLATION - Administrative Regulation,2010,Regulation,Administrative Authority,Administrative,General or Non-Specified,,DNS Provider,,,,,,,,,,,,,Good/No Action Required,http://www.kenyalaw.org/LegalNotices/pop_ln.php?file=453,,http://www.kenyalaw.org/LegalNotices/pop_ln.php?file=453
9,National Cohesion And Integration Act No. 12 of 2008,"<div><a href=""http://www.kenyalaw.org:8181/exist/kenyalex/actview.xql?actid=No.%2012%20of%202008#part_VII""><strong>National Cohesion And Integration Act No. 12 of 2008</strong></a></div>","[Section 13 creates the offence of Hate Speech. Section 62 makes an offense for any media enterprise to publish words intended to incite feelings of contempt, hatred, hostility, violence or discrimination against any person, group or community on the basis of ethnicity or race.]","<div>[<strong>Section 13</strong> creates the offence of Hate Speech. <strong>Section 62</strong> makes an offense for any media enterprise to publish words intended to incite feelings of contempt, hatred, hostility, violence or discrimination against any person, group or community on the basis of ethnicity or race.]</div>",Kenya,,LEGISLATION - Law,2008,Legislation,Legislative Branch,Civil,Hate Speech,,General or Non-Specified,,,,,,,,,,,,,Broken,http://www.kenyalaw.org:8181/exist/kenyalex/actview.xql?actid=No.%2012%20of%202008#part_VII,,
10,Sexual Offences Act of 2006,"<div><strong><a href=""http://www.kenyalaw.org:8181/exist/kenyalex/actview.xql?actid=CAP.%2062A"">Sexual Offences Act of 2006</a>, last amended by Act No. 12 of 2012</strong></div>","last amended by Act No. 12 of 2012
 
[(1) Section 12 makes it an offense for any person to distribute, supply or display any article that is intended to encourage or enable a child to be engaged on in sexual act;
 
(2) Section 14 prohibits child pornography which involves distribution and receiving profits from distribution of obscene materials to a child;
 
(3) Section 19 criminalizes the publishing of information intended to promote or facilitate conduct that would constitute a sexual offence against a person living with disabilities.]
","<div>[(<strong>1</strong>) <strong>Section 12</strong> makes it an offense for any person to distribute, supply or display any article that is intended to encourage or enable a child to be engaged on in sexual act;</div>
<div>(<strong>2</strong>)<strong> Section 14</strong> prohibits child pornography which involves distribution and receiving profits from distribution of obscene materials to a child;</div>
<div>(<strong>3</strong>) <strong>Section 19</strong> criminalizes the publishing of information intended to promote or facilitate conduct that would constitute a sexual offense against a person living with disabilities.]</div>",Kenya,,LEGISLATION - Law,2006,Legislation,Legislative Branch,Criminal,Child Protection (Includes Child Pornography),,General or Non-Specified,,,,,,,,,,,,,Broken,http://www.kenyalaw.org:8181/exist/kenyalex/actview.xql?actid=CAP.%2062A,,
11,Copyright Act of 2001,"<div><strong style=""line-height: 1.538em;""><a href=""http://www.kenyalaw.org:8181/exist/kenyalex/actview.xql?actid=CAP.%20130"">Copyright Act of 2001</a>,&nbsp;CAP 130&nbsp;</strong></div>","CAP 130 
 
[(1) Section 26 describes the nature of copyright in literary, audio-visual and musical or artistic works. It provides for the exclusive right of copyright holder to control reproduction and distribution of their works to the public;
 
(2) Section 35 defines and describes what constitutes copyright infringement and imposes criminal liability for distribution or making available to the public protected works without a license;
 
(3) Section 38 lists the offences and penalties for copyright infringement including the making and distribution of protected works without a license.
 
(4) Neither the Copyright Act nor other legislation imposes specific penalties on service providers for failing to block or remove infringing content. However, the continued existence of copyright material on a website, can be construed as a continuing violation and thus fall under the ‘distribution’ clause under s. 35 and 38 of the Copyright Act, thus giving rise to liability.]","<div>[(<strong>1</strong>)<strong>&nbsp;Section 26</strong>&nbsp;describes the nature of copyright in literary, audio-visual and musical or artistic works. It provides for the exclusive right of copyright holder to control reproduction and distribution of their works to the public;</div>
<div>(<strong>2</strong>)&nbsp;<strong>Section 35</strong>&nbsp;defines and describes what constitutes copyright infringement and imposes criminal liability for distribution or making available to the public protected works without a license;</div>
<div>(<strong>3</strong>)&nbsp;<strong>Section 38</strong>&nbsp;lists the offences and penalties for copyright infringement including the making and distribution of protected works without a license.</div>
<div>(<strong>4</strong>) Neither the Copyright Act nor&nbsp;other legislation imposes specific penalties on service providers for failing to block or remove infringing&nbsp;content. However, the continued existence of copyright material on a website, can be construed as a&nbsp;continuing violation and thus fall under the ‘distribution’ clause under s. 35 and 38 of the Copyright&nbsp;Act, thus giving rise to liability.]</div>",Kenya,,LEGISLATION - Law,2001,Legislation,Legislative Branch,Civil+Criminal,Copyright,,General or Non-Specified,,,,,,,,,,,,,Broken,http://www.kenyalaw.org:8181/exist/kenyalex/actview.xql?actid=CAP.%20130,http://www.kenyalaw.org/lex//actview.xql?actid=No.%2012%20of%202001 ,http://www.kenyalaw.org/lex//actview.xql?actid=No.%2012%20of%202001 
12,Penal Code,"<div><strong><a href=""http://www.kenyalaw.org:8181/exist/kenyalex/actview.xql?actid=CAP.%2063"">Penal Code</a>, CAP 63</strong></div>","CAP 63
 
[Chapter XVIII defines and describes defamation as an offence. Section 194 makes any person who unlawfully publishes defamatory matter with intent to injure or defame another person liable for defamation.]",<div>[Chapter XVIII defines and describes defamation as an offence.&nbsp;<strong>Section 194</strong>&nbsp;makes any person who unlawfully publishes defamatory matter with intent to injure or defame another person liable for defamation.]</div>,Kenya,,LEGISLATION - Law,2014,Legislation,Legislative Branch,Criminal,Defamation or Personality Rights,,General or Non-Specified,,,,,,,,,,,,,Broken,http://www.kenyalaw.org:8181/exist/kenyalex/actview.xql?actid=CAP.%2063,,
